,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Kaitangata,NZ,-46.2817,169.8464,44.01,82,71,4.0,broken clouds
178,Diourbel,SN,14.6628,-16.3925,100.4,23,0,6.91,clear sky
179,Ryotsu,JP,38.0833,138.4333,52.84,88,96,7.99,overcast clouds
180,Saldanha,ZA,-33.0117,17.9442,57.2,67,0,11.5,clear sky
181,Fortuna,US,40.5982,-124.1573,64.99,82,1,13.8,clear sky
182,Mackenzie,CA,55.2999,-123.1698,48.2,76,90,12.66,overcast clouds
183,Chokurdakh,RU,70.6333,147.9167,-0.29,95,16,3.98,few clouds
184,Scarborough,GB,54.2797,-0.4044,44.01,85,17,1.99,few clouds
185,Punta De Bombon,PE,-17.1717,-71.7931,69.48,71,39,9.82,scattered clouds
186,Faanui,PF,-16.4833,-151.75,79.48,76,100,3.11,overcast clouds
187,Caravelas,BR,-17.7125,-39.2481,74.08,83,96,12.53,overcast clouds
188,Norman Wells,CA,65.282,-126.8329,39.2,52,20,3.44,few clouds
189,Severo-Kurilsk,RU,50.6789,156.125,34.97,93,100,19.13,overcast clouds
190,Oktyabrskoye,RU,43.0645,44.7417,60.8,77,75,2.24,broken clouds
191,Kisangani,CD,0.5167,25.2,71.28,97,100,1.34,overcast clouds
192,Kavieng,PG,-2.5744,150.7967,81.55,76,52,5.3,broken clouds
193,Kununurra,AU,-15.7667,128.7333,62.6,100,0,5.01,clear sky
194,Pingzhuang,CN,42.0372,119.2889,43.75,35,100,3.38,overcast clouds
195,Zhigansk,RU,66.7697,123.3711,31.17,83,100,1.83,overcast clouds
196,Geraldton,AU,-28.7667,114.6,51.8,71,96,8.05,overcast clouds
197,Kaeo,NZ,-35.1,173.7833,55.0,95,43,4.03,scattered clouds
198,Swift Current,CA,50.2834,-107.8014,71.6,23,1,20.71,clear sky
199,Gazanjyk,TM,39.2446,55.5154,74.61,43,67,9.28,broken clouds
200,Kalamazoo,US,42.2506,-85.55,55.4,38,20,10.36,few clouds
201,Canico,PT,32.6333,-16.85,64.4,59,40,8.05,scattered clouds
202,Weston,US,26.1004,-80.3998,93.0,49,4,11.1,clear sky
203,Dawlatabad,AF,36.4141,64.9053,73.76,47,12,3.2,few clouds
204,Krasnyy Kut,RU,50.95,46.9667,54.16,58,100,5.68,overcast clouds
205,Codrington,AU,-38.2667,141.9667,57.7,45,100,9.46,overcast clouds
206,Ahipara,NZ,-35.1667,173.1667,60.48,77,74,9.28,broken clouds
207,Honningsvag,NO,70.9821,25.9704,30.2,80,90,36.82,snow
208,Vostok,RU,46.4856,135.8833,31.53,86,1,1.36,clear sky
209,Quepos,CR,9.4236,-84.1652,80.6,54,40,12.66,scattered clouds
210,Kaka,TM,37.3482,59.6143,73.71,50,100,2.21,overcast clouds
211,Namatanai,PG,-3.6667,152.4333,78.44,80,24,3.44,few clouds
212,Varzob,TJ,38.7737,68.8178,68.0,68,75,4.47,haze
213,Cruzilia,BR,-21.8386,-44.8083,68.9,57,51,3.69,broken clouds
214,Longido,TZ,-2.7333,36.6833,67.64,80,76,7.16,broken clouds
215,Honiara,SB,-9.4333,159.95,76.17,82,97,4.99,overcast clouds
216,Puerto Ayora,EC,-0.7393,-90.3518,82.4,69,40,13.8,scattered clouds
217,Foz,ES,43.5692,-7.2544,54.0,81,35,7.0,scattered clouds
218,Beloha,MG,-25.1667,45.05,71.62,73,15,6.04,few clouds
219,Kargasok,RU,59.0556,80.8572,38.86,84,9,11.61,clear sky
220,Puerto Escondido,MX,15.85,-97.0667,86.0,70,40,8.05,scattered clouds
221,Miandoab,IR,36.9694,46.1027,64.4,42,40,11.5,scattered clouds
222,Jalu,LY,29.0331,21.5482,91.4,10,0,10.6,clear sky
223,Embonas,GR,36.2269,27.8564,71.6,78,0,8.05,clear sky
224,Porto Novo,BJ,6.4965,2.6036,86.0,79,40,13.8,scattered clouds
225,Luderitz,NA,-26.6481,15.1594,66.18,39,0,18.92,clear sky
226,Itarema,BR,-2.9248,-39.9167,81.68,76,58,10.96,broken clouds
227,Piacabucu,BR,-10.4056,-36.4344,80.76,75,15,11.25,few clouds
228,Mabaruma,GY,8.2,-59.7833,86.13,57,100,7.11,overcast clouds
229,Sitka,US,57.0531,-135.33,46.4,87,90,4.61,light rain
230,Kieta,PG,-6.2167,155.6333,78.12,81,58,1.03,broken clouds
231,Nishihara,JP,26.1842,127.7558,71.6,83,75,8.05,broken clouds
232,Faya,SA,18.3851,42.4509,69.8,77,40,9.22,scattered clouds
233,Kiruna,SE,67.8557,20.2251,23.0,68,100,11.5,light snow
234,Shimoda,JP,34.6667,138.95,57.99,83,0,14.34,clear sky
235,Matara,LK,5.9485,80.5353,77.77,88,100,3.0,overcast clouds
236,Dalbandin,PK,28.8947,64.4101,78.98,31,61,7.31,broken clouds
237,Roald,NO,62.5833,6.1333,41.0,70,75,12.66,broken clouds
238,Olafsvik,IS,64.8945,-23.7142,36.41,64,67,27.6,broken clouds
239,Saint-Francois,FR,46.4154,3.9054,50.0,71,75,8.05,broken clouds
240,Syracuse,IT,37.0881,15.2792,73.4,100,0,3.44,clear sky
241,Dikson,RU,73.5069,80.5464,4.59,96,90,9.26,overcast clouds
242,Acari,PE,-15.4311,-74.6158,78.3,54,15,10.47,few clouds
243,Hasaki,JP,35.7333,140.8333,50.0,100,20,3.44,few clouds
244,Te Anau,NZ,-45.4167,167.7167,38.79,94,89,1.32,overcast clouds
245,Klaksvik,FO,62.2266,-6.589,37.4,70,75,8.05,broken clouds
246,Kayerkan,RU,69.3497,87.7602,17.55,91,37,3.33,scattered clouds
247,Hithadhoo,MV,-0.6,73.0833,84.09,73,95,7.9,overcast clouds
248,Stabat,ID,3.761,98.4513,77.0,94,40,2.3,scattered clouds
249,Saint Simons,US,31.1352,-81.3901,89.6,43,20,8.05,few clouds
250,Ugoofaaru,MV,5.6667,73.0,83.71,73,61,5.01,broken clouds
251,Saint Pete Beach,US,27.7253,-82.7412,82.99,54,1,9.22,clear sky
252,Saratoga Springs,US,43.0831,-73.7846,50.0,83,100,11.01,overcast clouds
253,Seoul,KR,37.5683,126.9778,50.0,87,90,5.75,light rain
254,Lianzhou,CN,24.7811,112.3825,65.77,79,100,1.16,overcast clouds
255,Saskylakh,RU,71.9167,114.0833,31.24,87,100,9.95,overcast clouds
256,Luau,AO,-10.7073,22.2247,66.31,93,100,4.9,light rain
257,Dunedin,NZ,-45.8742,170.5036,46.0,77,77,5.77,broken clouds
258,Palana,RU,59.1167,159.9667,29.3,91,100,6.62,overcast clouds
259,San Cristobal,VE,7.7669,-72.225,71.6,100,75,12.66,broken clouds
260,Samana,DO,19.2056,-69.3369,89.6,62,40,13.8,scattered clouds
261,Askiz,RU,53.1319,90.5264,43.65,82,100,3.31,overcast clouds
262,Vila Velha,BR,-20.3297,-40.2925,78.01,69,20,13.8,few clouds
263,Tungor,RU,53.3808,142.9564,30.13,89,100,6.78,overcast clouds
264,Saint-Leu,RE,-21.15,55.2833,75.2,83,0,6.91,clear sky
265,Sedan,FR,49.6667,5.0,48.0,69,95,5.06,overcast clouds
266,Andrews,US,32.3187,-102.5457,64.4,52,40,12.66,scattered clouds
267,Zapolyarnyy,RU,69.4154,30.8136,24.8,68,20,14.97,few clouds
268,Payson,US,40.0444,-111.7321,75.0,32,1,6.91,clear sky
269,Skvyra,UA,49.7318,29.6657,55.11,91,100,10.09,overcast clouds
270,Ternate,ID,0.8,127.4,80.46,77,83,1.95,broken clouds
271,Yinchuan,CN,38.4681,106.2731,60.19,24,4,3.42,clear sky
272,Milkovo,RU,54.7167,158.6167,32.45,89,76,3.18,broken clouds
273,Effingham,US,32.3669,-81.3332,87.8,35,75,14.97,broken clouds
274,Bandarbeyla,SO,9.4942,50.8122,84.18,73,27,8.61,scattered clouds
275,Middelburg,ZA,-25.7751,29.4648,55.8,77,97,2.8,light rain
276,Grasse,FR,43.6667,6.9167,57.2,94,0,1.14,clear sky
277,Cape Town,ZA,-33.9258,18.4232,59.0,67,0,12.66,clear sky
278,Chitral,PK,35.8462,71.7858,60.94,48,1,2.3,clear sky
279,Kabanjahe,ID,3.1001,98.4908,77.0,94,40,2.3,scattered clouds
280,Gua Musang,MY,4.8823,101.9644,73.54,99,98,1.88,overcast clouds
281,Trancoso,MX,22.7333,-102.3667,73.4,27,40,28.77,scattered clouds
282,Turukhansk,RU,65.8167,87.9833,35.22,77,100,16.13,overcast clouds
283,Myitkyina,MM,25.3833,97.4,70.57,85,100,1.19,overcast clouds
284,Makokou,GA,0.5738,12.8642,72.81,95,100,2.51,overcast clouds
285,Narsaq,GL,60.9167,-46.05,57.2,24,40,28.77,scattered clouds
286,Nyimba,ZM,-14.5566,30.8149,72.19,71,44,4.18,scattered clouds
287,Sibolga,ID,1.7427,98.7792,76.82,86,100,3.31,overcast clouds
288,Pangody,RU,65.85,74.4859,28.47,93,100,13.53,overcast clouds
289,Bubaque,GW,11.2833,-15.8333,78.82,71,8,20.94,clear sky
290,Katsuura,JP,35.1333,140.3,60.8,82,20,9.22,few clouds
291,Lata,PT,40.1629,-8.3327,60.01,67,2,5.99,clear sky
292,Odweyne,SO,9.4092,45.064,76.84,60,96,2.77,light rain
293,Pandaria,IN,22.2333,81.4167,83.62,19,35,5.48,scattered clouds
294,Bukachacha,RU,52.9833,116.9167,30.33,81,2,3.06,clear sky
295,Naze,JP,28.3667,129.4833,66.49,80,100,15.55,overcast clouds
296,Natal,BR,-5.795,-35.2094,80.6,78,75,5.75,broken clouds
297,Joao Pinheiro,BR,-17.7425,-46.1725,75.11,60,100,9.44,overcast clouds
298,Altamont,US,42.2068,-121.7372,72.0,32,1,4.61,clear sky
299,Henties Bay,NA,-22.116,14.2845,59.0,88,0,5.75,clear sky
300,Talnakh,RU,69.4865,88.3972,17.49,81,13,2.86,few clouds
301,Port Blair,IN,11.6667,92.75,81.61,74,100,1.59,overcast clouds
302,Deputatskiy,RU,69.3,139.9,17.38,97,98,0.98,overcast clouds
303,Bangui,CF,4.3612,18.555,82.4,74,0,3.44,clear sky
304,Gresham,US,45.4982,-122.4315,66.2,52,90,5.75,overcast clouds
305,South Lake Tahoe,US,38.9332,-119.9844,79.0,42,1,5.75,clear sky
306,Komsomolskiy,UZ,40.4272,71.7189,75.2,29,100,3.36,overcast clouds
307,Omboue,GA,-1.5746,9.2618,79.29,85,100,5.41,overcast clouds
308,Nemuro,JP,43.3236,145.575,37.63,79,55,24.74,broken clouds
309,Mazyr,BY,52.0495,29.2456,52.43,92,100,4.32,overcast clouds
310,Lazaro Cardenas,MX,17.9583,-102.2,84.45,58,14,10.87,few clouds
311,Hualmay,PE,-11.0964,-77.6139,72.07,72,12,9.08,few clouds
312,Nuuk,GL,64.1835,-51.7216,33.8,100,20,6.91,few clouds
313,Port-Gentil,GA,-0.7193,8.7815,82.4,83,20,3.44,few clouds
314,Ilulissat,GL,69.2167,-51.1,39.2,56,20,3.44,few clouds
315,Ibra,OM,22.6906,58.5334,78.94,31,27,5.75,scattered clouds
316,Olinda,BR,-8.0089,-34.8553,78.8,69,40,10.36,scattered clouds
317,Goderich,CA,43.7501,-81.7165,41.0,60,8,24.16,clear sky
318,Ketchikan,US,55.3422,-131.6461,46.4,87,90,9.22,moderate rain
319,Botou,CN,38.0667,116.5667,43.25,74,0,8.84,clear sky
320,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,57,20,13.8,few clouds
321,Yerbogachen,RU,61.2767,108.0108,31.8,92,100,6.35,overcast clouds
322,Husavik,IS,66.0449,-17.3389,33.8,93,90,13.8,light snow
323,Stromness,GB,58.965,-3.296,42.8,70,20,5.75,few clouds
324,Tumut,AU,-35.3,148.2167,51.8,82,0,6.91,clear sky
325,Kupang,ID,-10.1667,123.5833,76.5,84,95,5.86,overcast clouds
326,Kilemary,RU,56.7783,46.8659,51.73,57,100,17.56,light rain
327,Sabha,LY,27.0377,14.4283,90.59,5,0,9.33,clear sky
328,Katangli,RU,51.7102,143.2326,30.96,94,100,8.37,overcast clouds
329,Ust-Nera,RU,64.5667,143.2,26.91,95,98,2.19,overcast clouds
330,Eyl,SO,7.9803,49.8164,84.04,71,36,9.19,scattered clouds
331,Port Hardy,CA,50.6996,-127.4199,55.4,71,75,14.97,light rain
332,Luba,GQ,3.4568,8.5547,80.6,89,40,5.75,scattered clouds
333,Broager,DK,54.8874,9.681,48.2,81,75,5.75,broken clouds
334,Boyolangu,ID,-8.1181,111.8935,74.66,92,100,1.05,overcast clouds
335,Coquimbo,CL,-29.9533,-71.3436,62.6,67,0,13.8,clear sky
336,Kaoma,ZM,-14.7833,24.8,64.49,94,100,3.11,light rain
337,Srednekolymsk,RU,67.45,153.6833,10.9,93,43,7.7,scattered clouds
338,San Luis,AR,-33.295,-66.3356,74.08,29,74,8.3,broken clouds
339,Baoqing,CN,46.3317,132.2111,41.92,68,20,6.53,few clouds
340,Tatui,BR,-23.3556,-47.8569,75.99,41,95,5.01,overcast clouds
341,Daru,PG,-9.0763,143.2092,77.67,84,67,9.42,broken clouds
342,Chicama,PE,-7.8447,-79.1469,66.2,82,15,11.5,few clouds
343,Saint-Augustin,CA,51.226,-58.6502,42.75,77,99,7.92,overcast clouds
344,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,64,40,16.11,scattered clouds
345,Solnechnyy,RU,50.7214,136.6319,30.36,88,98,6.53,overcast clouds
346,Barcelos,PT,41.5388,-8.6151,57.99,62,20,18.41,few clouds
347,Palasa,IN,18.7667,84.4167,76.6,76,0,6.46,clear sky
348,Freeport,US,40.6576,-73.5832,63.0,59,75,21.85,broken clouds
349,Araouane,ML,18.9048,-3.5265,91.87,26,100,5.73,overcast clouds
350,Chuguyevka,RU,44.1653,133.8633,39.27,89,100,2.48,overcast clouds
351,Biltine,TD,14.5333,20.9167,91.58,9,49,7.87,scattered clouds
